Date,NO2,CO,PM2.5,PM10,SO2,O3
2025-04-15,9.7,0.3,9.9,22.0,1.3,0.054
2025-04-16,34.0,0.3,12.2,30.0,5.4,0.053
2025-04-17,35.0,0.4,20.4,41.0,10.3,0.061
2025-04-18,8.9,0.2,16.0,33.0,2.4,0.063
2025-04-19,10.2,0.2,13.0,31.0,1.5,0.053
2025-04-20,28.7,0.3,13.8,26.0,3.4,0.044
2025-04-21,12.2,0.2,11.6,23.0,1.3,0.033
2025-04-22,20.7,0.2,6.95,14.0,1.5,0.031
2025-04-23,23.7,0.3,8.7,18.0,1.2,0.028
2025-04-24,17.7,0.3,13.4,28.0,1.3,0.036
2025-04-25,15.0,0.2,9.95,25.0,1.2,0.036
2025-04-26,16.1,0.3,7.9,14.0,1.6,0.031
2025-04-27,25.0,0.4,10.2,18.0,1.6,0.043
2025-04-28,17.5,0.2,10.5,22.0,1.3,0.039
2025-04-29,14.7,0.2,14.8,29.0,1.1,0.036
2025-04-30,23.6,0.2,13.8,31.0,1.2,0.043
2025-05-01,12.4,0.2,7.1,17.0,1.2,0.042
2025-05-02,14.9,0.2,7.4,20.0,1.3,0.038
2025-05-03,24.6,0.2,4.8,11.0,1.2,0.038
2025-05-04,22.4,0.3,4.050000000000001,10.0,1.7,0.036
2025-05-05,21.4,0.3,7.7,15.0,2.2,0.045
2025-05-06,22.7,0.4,14.8,28.0,5.4,0.051
2025-05-07,21.1,0.2,9.649999999999999,18.0,1.6,0.038
2025-05-08,16.5,0.3,11.1,23.0,2.4,0.048
2025-05-09,19.8,0.2,7.9,17.0,1.6,0.042
2025-05-10,,0.2,5.8,,,
2025-05-12,,0.3,,,,0.042
2025-05-13,20.1,0.3,6.55,14.0,1.9,0.034
2025-05-14,20.3,0.2,10.5,20.0,2.1,0.044
2025-05-15,10.0,0.2,9.2,19.0,1.5,0.036
2025-05-16,7.8,0.2,8.95,20.0,1.2,0.027
2025-05-17,12.5,0.1,10.3,20.0,,0.04
2025-05-18,12.3,,7.8,17.0,,0.036
2025-05-19,11.8,0.2,9.8,19.0,,0.029
2025-05-20,6.8,0.2,10.7,24.0,2.6,
2025-05-21,20.5,0.2,5.6,16.0,1.5,0.039
2025-05-22,26.2,0.3,5.85,19.0,,0.045
2025-05-23,22.4,0.3,8.3,22.0,4.3,0.045
2025-05-24,17.8,0.2,7.3,15.0,3.5,0.039
2025-05-25,7.3,0.2,8.2,15.0,1.5,0.031
2025-05-26,7.6,0.2,4.1,10.0,1.4,0.041
2025-05-27,15.2,0.2,4.6,11.0,1.8,0.027
2025-05-28,9.2,0.2,6.25,13.0,,0.032
2025-05-29,23.7,0.2,5.9,13.0,,0.035
2025-05-30,13.1,0.2,5.3,12.0,1.5,0.033
2025-05-31,17.4,0.3,10.1,22.0,1.9,0.046
2025-06-01,16.2,0.3,14.4,22.0,2.4,0.044
2025-06-02,27.2,0.4,22.5,37.0,3.1,0.048
2025-06-03,,0.2,22.3,,,0.044
2025-06-04,28.1,0.2,15.8,25.0,2.1,0.037
2025-06-05,,0.2,8.2,17.0,,0.033
2025-06-06,22.2,0.3,12.1,26.0,2.2,0.03
2025-06-07,9.9,0.2,9.1,24.0,,0.031
2025-06-08,22.2,,4.7,12.0,,0.034
2025-06-09,17.0,0.2,5.949999999999999,15.0,,0.035
2025-06-10,19.4,0.3,10.1,19.0,2.5,0.037
2025-06-11,19.5,0.4,14.5,27.0,2.7,0.043
2025-06-12,22.7,0.2,9.3,18.0,6.0,0.035
2025-06-13,8.1,0.2,6.0,14.0,2.3,0.019
2025-06-14,10.1,0.2,7.0,18.0,2.3,0.026
2025-06-15,10.6,0.2,6.15,16.0,1.5,0.026
2025-06-16,12.3,0.2,5.7,15.0,,
2025-06-17,10.4,0.2,7.1,17.0,1.5,0.018
2025-06-18,13.0,0.3,7.85,21.0,1.8,0.02
2025-06-19,28.5,0.3,7.6,18.0,2.3,0.039
2025-06-20,20.7,0.4,11.5,28.0,1.9,0.032
2025-06-21,,0.4,9.7,,,0.033
2025-06-22,15.9,0.3,8.8,18.0,4.2,0.047
2025-06-23,21.0,0.3,5.3,11.0,1.9,0.035
2025-06-24,25.9,0.4,15.05,18.0,2.0,0.05
2025-06-25,20.3,0.5,20.8,36.0,2.0,0.031
2025-06-26,14.2,0.3,9.3,16.0,1.8,0.04
2025-06-27,17.3,0.3,10.8,23.0,1.7,0.029
2025-06-28,14.2,0.2,8.8,15.0,1.6,0.031
2025-06-29,12.9,0.3,7.2,12.0,1.7,0.027
2025-06-30,14.8,0.3,6.4,15.0,2.0,0.021
2025-07-01,14.7,0.3,,,3.0,0.025
2025-07-02,9.9,0.2,,,1.7,0.036
2025-07-03,20.3,0.3,10.3,,1.6,0.046
2025-07-04,21.1,0.4,19.5,30.0,2.1,0.037
2025-07-05,20.6,0.4,22.7,33.0,1.9,0.041
2025-07-06,21.1,0.4,18.8,29.0,2.7,0.049
2025-07-07,20.6,0.5,15.9,29.0,2.2,0.039
2025-07-08,21.9,0.4,12.8,28.0,2.4,0.036
2025-07-09,17.9,0.3,9.95,24.0,1.9,0.03
2025-07-10,20.3,0.3,6.5,18.0,1.7,0.026
2025-07-11,23.0,0.3,6.6,18.0,1.8,0.026
2025-07-12,13.4,0.3,10.65,28.0,1.7,0.019
2025-07-13,15.9,0.3,6.5,20.0,2.0,0.024
2025-07-14,14.7,0.3,5.4,15.0,2.2,0.017
2025-07-15,20.5,0.3,9.85,28.0,3.1,0.026
2025-07-16,15.1,0.3,8.7,23.0,2.0,0.035
2025-07-17,5.9,0.2,4.5,13.0,1.9,0.025
2025-07-18,7.0,0.2,4.4,13.0,1.8,0.028
2025-07-19,13.8,0.3,8.2,20.0,1.7,0.025
2025-07-20,14.5,0.3,8.1,18.0,1.7,0.019
2025-07-21,7.6,0.3,9.4,22.0,2.4,0.022
2025-07-22,16.0,0.2,9.2,21.0,3.2,0.025
2025-07-23,15.7,0.5,7.8,17.0,2.9,0.036
2025-07-24,11.2,0.5,8.55,18.0,2.6,0.03
2025-07-25,11.1,0.3,4.1,12.0,2.7,0.023
2025-07-26,11.2,0.2,4.4,11.0,1.8,0.025
2025-07-27,20.6,0.2,5.45,13.0,1.7,0.027
2025-07-28,16.5,0.3,8.2,18.0,1.9,0.023
2025-07-29,14.2,0.3,9.0,20.0,2.1,0.039
2025-07-30,17.1,0.3,10.1,23.0,2.1,0.054
2025-07-31,19.6,0.3,7.9,17.0,1.7,0.036
2025-08-01,13.1,0.3,7.4,17.0,2.0,0.045
2025-08-02,7.1,0.3,8.45,14.0,2.8,0.03
2025-08-03,7.7,0.3,3.1,7.0,1.8,0.025
2025-08-04,4.8,0.3,3.4,7.0,1.8,0.026
2025-08-05,7.9,0.3,3.95,8.0,2.1,0.019
2025-08-06,13.9,0.4,5.2,12.0,1.9,0.03
2025-08-07,12.9,0.4,5.8,16.0,2.5,0.034
2025-08-08,15.5,0.3,5.65,13.0,2.1,0.04
2025-08-09,7.8,0.3,9.2,17.0,1.8,0.032
2025-08-10,4.5,0.3,6.8,12.0,1.9,0.027
2025-08-11,9.6,0.2,6.6,15.0,2.2,0.021
2025-08-12,13.3,0.2,3.2,9.0,2.6,0.02
2025-08-13,,0.3,,,,0.023
2025-08-14,25.5,0.3,6.35,13.0,2.1,0.034
2025-08-15,14.1,0.4,8.3,17.0,2.1,0.034
2025-08-16,19.6,0.3,8.4,18.0,2.2,0.037
2025-08-17,21.0,0.4,11.5,18.0,2.6,0.038
2025-08-18,18.9,0.3,10.3,22.0,3.0,0.04
2025-08-19,19.2,0.3,11.0,26.0,2.8,0.049
2025-08-20,19.6,0.3,11.4,30.0,2.5,0.043
2025-08-21,13.7,0.3,7.4,17.0,2.7,0.037
2025-08-22,16.3,0.4,8.8,20.0,2.6,0.037
2025-08-23,14.2,0.3,8.2,15.0,2.3,0.039
2025-08-24,21.7,0.3,5.3,12.0,2.2,0.034
2025-08-25,17.1,0.3,5.9,19.0,3.7,0.035
2025-08-26,20.6,0.3,7.5,27.0,3.5,0.028
2025-08-27,21.5,0.4,6.2,21.0,3.1,0.046
2025-08-28,12.2,0.4,10.2,35.0,2.8,0.056
2025-08-29,14.5,0.3,8.55,17.0,2.4,0.055
2025-08-30,24.9,0.3,9.8,18.0,2.7,0.05
2025-08-31,17.1,0.4,10.4,22.0,3.1,0.057
2025-09-01,10.6,0.3,8.15,15.0,2.0,0.039
2025-09-02,26.0,0.3,8.1,17.0,2.6,0.048
2025-09-03,18.5,0.4,10.7,26.0,4.1,0.054
2025-09-04,,0.3,10.55,23.0,,0.046
2025-09-05,24.8,0.3,12.8,26.0,2.3,0.053
2025-09-06,18.9,0.3,8.6,17.0,2.4,0.044
2025-09-07,5.8,0.2,6.1,17.0,2.1,0.041
2025-09-08,12.2,0.2,7.4,21.0,2.2,0.054
2025-09-09,13.5,0.2,7.8,20.0,2.2,0.056
2025-09-10,32.2,0.3,13.0,43.0,6.9,0.057
2025-09-11,26.3,0.4,16.3,38.0,6.6,0.055
2025-09-12,28.9,0.4,16.1,34.0,7.0,0.059
2025-09-13,27.1,0.3,13.3,29.0,7.5,0.063
2025-09-14,25.4,0.4,13.2,26.0,5.0,0.065
2025-09-15,27.5,0.3,13.8,40.0,6.6,0.06
2025-09-16,30.1,0.3,14.45,39.0,3.2,0.068
2025-09-17,31.5,0.5,18.0,52.0,4.1,0.055
2025-09-18,31.8,0.3,17.1,45.0,3.2,0.062
2025-09-19,37.8,0.4,20.75,55.0,9.4,0.064
2025-09-20,28.8,0.4,16.4,31.0,3.4,0.07
2025-09-21,20.9,0.3,15.0,24.0,5.0,0.047
2025-09-22,24.9,0.3,13.2,23.0,2.2,0.044
2025-09-23,24.3,0.3,10.3,30.0,3.3,0.045
2025-09-24,19.0,0.3,6.8,18.0,2.9,0.031
2025-09-25,11.8,0.2,3.9000000000000004,9.0,2.2,0.034
2025-09-26,11.1,0.4,4.0,9.0,2.2,0.033
2025-09-27,19.0,0.3,5.6,12.0,2.6,0.042
2025-09-28,17.5,0.3,6.25,12.0,5.2,0.043
2025-09-29,23.9,0.2,6.3,15.0,4.2,0.047
2025-09-30,22.7,0.3,7.1,22.0,4.6,0.037
2025-10-01,26.9,0.2,7.949999999999999,19.0,4.1,0.046
2025-10-02,,0.2,10.3,24.0,2.4,0.05
2025-10-03,,0.2,6.5,17.0,,0.042
2025-10-04,8.8,0.2,6.15,16.0,4.4,0.04
2025-10-05,6.4,0.2,3.8,10.0,2.4,0.03
2025-10-06,10.5,0.2,6.0,16.0,2.1,0.026
2025-10-07,13.6,0.1,5.7,16.0,2.3,0.03
2025-10-08,8.0,0.1,4.7,12.0,2.4,0.032
2025-10-09,11.0,0.2,5.7,14.0,3.7,0.04
2025-10-10,12.9,0.2,7.2,17.0,4.5,0.045
2025-10-11,26.3,0.3,6.8,15.0,3.8,0.047
2025-10-12,23.2,0.4,9.6,18.0,4.8,0.049
2025-10-13,19.7,0.4,10.05,26.0,5.6,0.057
2025-10-14,20.0,0.3,5.5,17.0,2.1,0.047
2025-10-15,29.0,0.3,7.1,36.0,2.9,0.06
2025-10-16,26.6,0.3,7.699999999999999,23.0,6.2,0.053
2025-10-17,19.3,0.3,10.5,30.0,1.1,0.059
2025-10-18,7.4,0.2,7.6,23.0,0.9,0.048
2025-10-19,8.6,0.1,3.35,9.0,0.5,0.04
2025-10-20,28.1,0.3,8.8,26.0,2.6,0.042
2025-10-21,27.2,0.4,12.2,39.0,1.8,0.033
2025-10-22,26.8,0.4,5.9,18.0,1.3,0.036
2025-10-23,45.8,0.6,13.6,48.0,2.7,0.04
2025-10-24,25.1,0.5,11.6,33.0,3.0,0.042
2025-10-25,8.5,0.3,9.1,21.0,0.7,0.049
2025-10-26,5.5,0.2,4.9,11.0,0.4,0.031
2025-10-27,5.6,0.2,3.0,5.0,0.3,0.021
2025-10-28,10.6,0.2,4.15,8.0,0.7,0.02
2025-10-29,9.2,0.2,2.8,6.0,1.4,0.024
2025-10-30,21.1,0.3,2.9,6.0,0.5,0.025
2025-10-31,32.6,0.4,6.05,14.0,1.3,0.035
